PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRet,DlyRetx
13407,30303M10,FB,54084,2013-03-21,25.740000,-0.004640,-0.004640
13407,30303M10,FB,54084,2013-03-22,25.730000,-0.000389,-0.000389
13407,30303M10,FB,54084,2013-03-25,25.131000,-0.023280,-0.023280
13407,30303M10,FB,54084,2013-03-26,25.205000,0.002945,0.002945
13407,30303M10,FB,54084,2013-03-27,26.090000,0.035112,0.035112
13407,30303M10,FB,54084,2013-03-28,25.580000,-0.019548,-0.019548
13407,30303M10,FB,54084,2013-04-01,25.530000,-0.001955,-0.001955
13407,30303M10,FB,54084,2013-04-02,25.420000,-0.004309,-0.004309
13407,30303M10,FB,54084,2013-04-03,26.250000,0.032651,0.032651
13407,30303M10,FB,54084,2013-04-04,27.072500,0.031333,0.031333
13407,30303M10,FB,54084,2013-04-05,27.390000,0.011728,0.011728
13407,30303M10,FB,54084,2013-04-08,26.849000,-0.019752,-0.019752
13407,30303M10,FB,54084,2013-04-09,26.590000,-0.009647,-0.009647
13407,30303M10,FB,54084,2013-04-10,27.570000,0.036856,0.036856
13407,30303M10,FB,54084,2013-04-11,28.017500,0.016231,0.016231
13407,30303M10,FB,54084,2013-04-12,27.400000,-0.022040,-0.022040
13407,30303M10,FB,54084,2013-04-15,26.520000,-0.032117,-0.032117
13407,30303M10,FB,54084,2013-04-16,26.920000,0.015083,0.015083
13407,30303M10,FB,54084,2013-04-17,26.625000,-0.010958,-0.010958
13407,30303M10,FB,54084,2013-04-18,25.690000,-0.035117,-0.035117
13407,30303M10,FB,54084,2013-04-19,25.730000,0.001557,0.001557
13407,30303M10,FB,54084,2013-04-22,25.970000,0.009328,0.009328
13407,30303M10,FB,54084,2013-04-23,25.980000,0.000385,0.000385
13407,30303M10,FB,54084,2013-04-24,26.110000,0.005004,0.005004
13407,30303M10,FB,54084,2013-04-25,26.140000,0.001149,0.001149
13407,30303M10,FB,54084,2013-04-26,26.850000,0.027161,0.027161
13407,30303M10,FB,54084,2013-04-29,26.980000,0.004842,0.004842
13407,30303M10,FB,54084,2013-04-30,27.769000,0.029244,0.029244
13407,30303M10,FB,54084,2013-05-01,27.430000,-0.012208,-0.012208
13407,30303M10,FB,54084,2013-05-02,28.970000,0.056143,0.056143
13407,30303M10,FB,54084,2013-05-03,28.311000,-0.022748,-0.022748
